prot	method	featset	metric	val.max
P08581	RIDGE	union	Specificity	0.869565217391304
P09619	DECISION_TREE	linear	Specificity	0.943396226415094
P10398	RANDOM_FOREST	boruta	Specificity	1
P10721	NEURALNET	linear	Specificity	0.796296296296296
P11309	DECISION_TREE	boruta	Specificity	0.95
P11362	NEURALNET	boruta	Specificity	0.928571428571429
P11802	NAIVE	boruta	Specificity	0.777777777777778
P12931	DECISION_TREE	common	Specificity	0.891089108910891
P15056	XGBOOST	linear	Specificity	0.950413223140496
P16234	RIDGE	boruta	Specificity	0.857142857142857
P17948	XGBOOST	boruta	Specificity	0.975
P19784	NAIVE	boruta	Specificity	1
P21802	NAIVE	boruta	Specificity	0.916666666666667
P22455	NAIVE	boruta	Specificity	1
P22607	NAIVE	boruta	Specificity	0.947368421052632
P23458	NAIVE	boruta	Specificity	0.904761904761905
P24941	RANDOM_FOREST	boruta	Specificity	1
P25098	NAIVE	linear	Specificity	1
P28482	XGBOOST	union	Specificity	0.958333333333333
P29597	DECISION_TREE	common	Specificity	1
P30530	CART	union	Specificity	1
P31749	DECISION_TREE	boruta	Specificity	0.935897435897436
P31751	LOGISTIC	boruta	Specificity	0.882352941176471
P35968	DECISION_TREE	common	Specificity	0.905579399141631
P36888	LOGISTIC	union	Specificity	0.97752808988764
P36897	RIDGE	linear	Specificity	1
P42336	DECISION_TREE	union	Specificity	0.933333333333333
P42338	DECISION_TREE	boruta	Specificity	1
P42345	XGBOOST	boruta	Specificity	0.96875
P43405	NEURALNET	linear	Specificity	0.846153846153846
P45983	NAIVE	boruta	Specificity	1
P45984	RANDOM_FOREST	linear	Specificity	0.96969696969697
P48736	SVM	union	Specificity	0.991935483870968
P49137	RANDOM_FOREST	boruta	Specificity	1
P49759	SVM	boruta	Specificity	1
P49840	XGBOOST	boruta	Specificity	0.9
P49841	DECISION_TREE	common	Specificity	0.976923076923077
P50750	DECISION_TREE	union	Specificity	1
P52333	LASSO	union	Specificity	0.918918918918919
P53350	DECISION_TREE	boruta	Specificity	1
P53667	SVM	boruta	Specificity	1
P53779	RANDOM_FOREST	boruta	Specificity	1
P68400	NAIVE	linear	Specificity	0.944444444444444
Q02750	ELASTICNET	union	Specificity	1
Q02763	XGBOOST	linear	Specificity	1
Q04759	LOGISTIC	boruta	Specificity	0.9
Q05397	XGBOOST	linear	Specificity	0.977777777777778
Q06187	NEURALNET	union	Specificity	0.947368421052632
Q06418	NEURALNET	linear	Specificity	1
Q07912	SVM	boruta	Specificity	1
Q08881	RIDGE	linear	Specificity	1
Q13315	NAIVE	boruta	Specificity	0.96551724137931
Q13535	NAIVE	boruta	Specificity	1
Q13627	RANDOM_FOREST	boruta	Specificity	1
Q14164	NAIVE	boruta	Specificity	1
Q16288	LOGISTIC	linear	Specificity	1
Q16539	DECISION_TREE	union	Specificity	0.891891891891892
Q5S007	CART	union	Specificity	0.888888888888889
Q96GD4	XGBOOST	linear	Specificity	0.925925925925926
Q9NWZ3	DECISION_TREE	union	Specificity	0.894736842105263
Q9P1W9	NAIVE	union	Specificity	1
Q9UM73	RIDGE	common	Specificity	0.961538461538462
Q9Y243	SVM	boruta	Specificity	1
O00329	ELASTICNET	linear	Precision	0.96
O14757	LASSO	union	Precision	0.976923076923077
O14920	SVM	linear	Precision	1
O14965	LASSO	union	Precision	0.973404255319149
O15530	RANDOM_FOREST	boruta	Precision	1
O60674	XGBOOST	union	Precision	0.981912144702842
O75116	RIDGE	union	Precision	0.984375
O96017	LASSO	boruta	Precision	1
P00519	RANDOM_FOREST	union	Precision	0.976744186046512
P00533	DECISION_TREE	union	Precision	0.949367088607595
P04049	NEURALNET	linear	Precision	1
P04626	CART	union	Precision	0.878787878787879
P04629	LOGISTIC	boruta	Precision	0.904761904761905
P05771	CART	linear	Precision	1
P06213	NEURALNET	boruta	Precision	1
P06239	CART	linear	Precision	0.927272727272727
P06493	SVM	boruta	Precision	1
P07333	ELASTICNET	union	Precision	0.977011494252874
P07947	NEURALNET	boruta	Precision	1
P07949	RIDGE	linear	Precision	0.925
P08069	XGBOOST	linear	Precision	0.978723404255319
P08581	RIDGE	union	Precision	0.970967741935484
